cell_zid,geometry,percentage passability
110425,"MULTIPOLYGON (((37.62355137109546 55.756477318937854, 37.62356557099039 55.76096876121182, 37.6315313232924 55.7609604953483, 37.631516207996256 55.75646905445913, 37.62355137109546 55.756477318937854)))",2.8502782498811627
110426,"MULTIPOLYGON (((37.631516207996256 55.75646905445913, 37.6315313232924 55.7609604953483, 37.63949707228505 55.760951713259665, 37.63948104158922 55.75646027384173, 37.631516207996256 55.75646905445913)))",1.5520741955611883
110427,"MULTIPOLYGON (((37.63948104158922 55.75646027384173, 37.63949707228505 55.760951713259665, 37.64746281576453 55.76094241494864, 37.647445869670904 55.75645097708846, 37.63948104158922 55.75646027384173)))",0.5331572156422186
111002,"MULTIPOLYGON (((37.58373675724457 55.761002345503506, 37.58374638283928 55.765493790647355, 37.59171306929939 55.765488104958386, 37.59170252803715 55.76099666076715, 37.58373675724457 55.761002345503506)))",1.1140167718705438
111003,"MULTIPOLYGON (((37.59170252803715 55.76099666076715, 37.59171306929939 55.765488104958386, 37.599679748883766 55.765481902959415, 37.5996682919598 55.76099046145185, 37.59170252803715 55.76099666076715)))",0.632086644159573
111004,"MULTIPOLYGON (((37.5996682919598 55.76099046145185, 37.599679748883766 55.765481902959415, 37.60764642911191 55.765475184644785, 37.60763405652315 55.76098374426281, 37.5996682919598 55.76099046145185)))",2.40598911847522
111005,"MULTIPOLYGON (((37.60763405652315 55.76098374426281, 37.60764642911191 55.765475184644785, 37.6156131048626 55.765467950018795, 37.615599816610526 55.760976510848906, 37.60763405652315 55.76098374426281)))",2.041250428768275
111006,"MULTIPOLYGON (((37.615599816610526 55.760976510848906, 37.6156131048626 55.765467950018795, 37.62357977490408 55.765460199083094, 37.62356557099039 55.76096876121182, 37.615599816610526 55.760976510848906)))",1.3891835676449729
111007,"MULTIPOLYGON (((37.62356557099039 55.76096876121182, 37.62357977490408 55.765460199083094, 37.6315464428664 55.765451931834484, 37.6315313232924 55.7609604953483, 37.62356557099039 55.76096876121182)))",1.8806792384744884
111008,"MULTIPOLYGON (((37.6315313232924 55.7609604953483, 37.6315464428664 55.765451931834484, 37.63951310751779 55.76544314827424, 37.63949707228505 55.760951713259665, 37.6315313232924 55.7609604953483)))",1.7524576493200648
111009,"MULTIPOLYGON (((37.63949707228505 55.760951713259665, 37.63951310751779 55.76544314827424, 37.647479766654136 55.76543384840512, 37.64746281576453 55.76094241494864, 37.63949707228505 55.760951713259665)))",1.5233946627973654
